ID;LONG;LAT
4;-56,52;-38,59
8;-55,56;-37,38
13;-55,88;-35,88
15;-55,32;-36,14
18;-54,28;-36,61
20;-53,35;-35,68
22;-53,91;-35,32
24;-54,29;-35,04
27;-53;-33,92
36;-52,15;-32,93
39;-51,54;-32,21
41;-51,14;-32,44
65;-57,46;-38,06
66;-57,24;-38,25
75;-56,28;-37,06
76;-56,43;-36,95
78;-55,61;-36
79;-55,32;-36,14
80;-55,04;-36,28
82;-54,28;-36,62
87;-54,36;-35,04
88;-53,42;-34,07
89;-53,09;-34,25
90;-52,94;-34,37
91;-52,78;-34,47
92;-52,63;-34,53
94;-52,43;-32,96
95;-52,3;-33,07
98;-51,72;-33,47
105;-51,71;-32,38
106;-52,05;-32,32
120;-56,88;-34,86
121;-56,68;-34,9
122;-56,49;-34,95
123;-56,29;-34,98
124;-56,1;-35,02
125;-55,91;-35,05
126;-55,72;-35,1
130;-54,9;-35,25
132;-54,57;-35,06
133;-54,41;-34,92
137;-53,79;-34,51
141;-54,97;-35,09
142;-54,94;-35,05
143;-54,72;-35,04
148;-46,22;-27,39
151;-45,61;-26,2
152;-45,56;-26,24
153;-45,51;-26,28
158;-45,06;-25,69
164;-43,49;-24,43
165;-43,43;-24,54
167;-42,65;-26,12
210;-40,54;-21,17
211;-40,56;-21,28
212;-41;-21,33
215;-40,55;-21,55
218;-40,49;-21,55
219;-40,49;-21,5
220;-40,49;-21,39
221;-40,56;-21,28
222;-40,48;-21,17
223;-40,43;-21,12
224;-40,43;-21,23
225;-40,43;-21,34
226;-40,49;-21,28
227;-40,43;-21,55
229;-40,32;-22,01
230;-40,32;-21,5
232;-40,31;-21,18
233;-40,25;-21,25
234;-40,26;-21,34
235;-40,26;-21,45
238;-40,2;-22,01
240;-40,15;-22,12
254;-43,8;-24,4
