ID;LONG;LAT;PROF;Globocassidulina
4;-56,51508;-38,59362;87;0
8;-55,56437;-37,3847;78;0
13;-55,88463;-35,8815;15;0
15;-55,31548;-36,1371;21;0
18;-54,28122;-36,61295;100;0
20;-53,35;-35,6845;64,7;0
22;-53,9072;-35,3185;22,6;0
24;-54,285;-35,04;37,2;0
27;-52,99767;-33,9165;28;0
36;-52,1545;-32,93017;20;0
39;-51,54;-32,2085;20,1;0
41;-51,14067;-32,43616;67;0
65;-57,4583;-38,0567;24;0
66;-57,2447;-38,253;47;0
75;-56,2825;-37,0647;26;0
76;-56,425;-36,953;23;0
78;-55,6067;-36,0022;22;0
79;-55,3187;-36,1362;25;0
80;-55,0393;-36,276;39;0
82;-54,2765;-36,6155;95;0
87;-54,3573;-35,0422;40;0
88;-53,4207;-34,0708;23;0
89;-53,0892;-34,252;34;0
90;-52,938;-34,368;66;0
91;-52,781;-34,47;36;0
92;-52,633;-34,5347;60;0
94;-52,429;-32,9602;15;0
95;-52,303;-33,0675;19;0
98;-51,72;-33,4723;54;0
105;-51,7102;-32,3833;27;0
106;-52,048;-32,3193;19;0
120;-56,88;-34,86;5,5;0
121;-56,68;-34,9;5,7;0
122;-56,49;-34,95;7,2;0
123;-56,29;-34,98;8,4;0
124;-56,1;-35,02;10,3;0
125;-55,91;-35,05;12;0
126;-55,72;-35,1;13,8;0
130;-54,9;-35,25;26;0
132;-54,57;-35,06;34;0
133;-54,41;-34,92;34;0
137;-53,79;-34,51;25,8;0
141;-54,97;-35,09;29;0
142;-54,94;-35,05;27,5;0
143;-54,72;-35,04;29,4;0
148;-46,22;-27,39;1902;0
151;-45,61;-26,2;688;0
152;-45,56;-26,24;992;0
153;-45,51;-26,28;1299;0
158;-45,06;-25,69;1002;0
164;-43,49;-24,43;996;0
165;-43,43;-24,54;1287;0
167;-42,65;-26,12;2401;0
210;-40,54222;-21,173484;15;0
211;-40,5644;-21,27969;16;0
212;-41,00371;-21,334706;12;0
215;-40,551129;-21,552298;16;0
218;-40,493056;-21,553469;21;0
219;-40,491805;-21,499342;22;0
220;-40,489299;-21,391112;22;0
221;-40,5644;-21,27969;16;0
222;-40,484352;-21,174889;24;0
223;-40,425485;-21,121708;16;0
224;-40,427746;-21,229881;28;0
225;-40,430282;-21,338115;21;0
226;-40,486944;-21,28288;21;0
227;-40,434928;-21,554669;20;0
229;-40,319937;-22,011072;50;0
230;-40,317641;-21,502749;27;0
232;-40,310955;-21,177875;29;0
233;-40,254124;-21,246559;33;0
234;-40,256229;-21,341368;29;0
235;-40,258473;-21,449619;26;0
238;-40,203641;-22,013049;60;0
240;-40,147661;-22,122187;97;0
254;-43,8;-24,4;652;0
