ID;LONG;LAT;PROF;Globocassidulina
1;-57,44997;-38,14007;24;4,6
2;-57,2308;-38,2478;44;2,2
3;-56,91072;-38,39175;80;0,6
5;-56,08967;-38,7843;80;8,4
6;-55,6968;-38,9813;117;3,9
7;-55,14273;-37,58727;110;16,4
9;-55,82952;-37,283;72,2;3
10;-56,08;-37,1705;37;1,1
11;-56,27648;-37,05445;31;3,9
12;-56,4977;-36,91655;17,5;4,3
14;-55,60422;-36,00225;21;8,2
16;-55,0393;-36,28013;38,3;3,3
17;-54,70898;-36,41817;52,6;4,2
19;-53,02571;-35,90835;217;11,1
21;-53,6645;-35,4793;53;4,2
23;-54,0652;-35,2007;26,4;4,3
25;-54,4633;-34,89;30,6;6,5
26;-53,22217;-33,79833;20,2;0,7
28;-52,62533;-34,12634;61,9;1,3
29;-52,4085;-34,24267;41;2,1
30;-52,07784;-34,42883;102;10,1
31;-51,03983;-33,58967;137,8;11,4
32;-51,3095;-33,43283;89;22,6
33;-51,51978;-33,31593;58;16,1
34;-51,737;-33,16117;54,9;7,8
35;-51,99965;-33,00543;37;0,3
37;-52,33;-32,8205;11,7;3,2
38;-51,8475;-32,04433;15;3,4
40;-51,35683;-32,32533;53;30,5
42;-50,9015;-32,55967;61;27,6
43;-50,62583;-32,70867;85;39,7
44;-49,82467;-31,36417;144;76,9
45;-50,04198;-31,23618;130;73,5
46;-50,19167;-31,1592;108;68,7
47;-50,3675;-31,08318;75;38,5
48;-50,48867;-30,99883;36,6;5,4
49;-48,84467;-30,49083;157,7;22,2
50;-49,03083;-30,25333;136;73,4
51;-49,2359;-30,00447;100;64,9
52;-49,37903;-29,82322;70;26,3
53;-49,50012;-29,67923;48;5,3
54;-49,63713;-29,51653;29;3,8
55;-48,697;-28,572;47,5;10,8
56;-48,52433;-28,665;68,8;63,1
57;-48,32516;-28,7645;105,3;74,5
58;-48,12867;-28,862;130,3;12,7
59;-47,89483;-28,97783;209;7,3
60;-47,35033;-27,49233;169,7;39,2
61;-47,59817;-27,39483;115;39,9
62;-47,85283;-27,29567;94,1;49,6
63;-48,08767;-27,20133;60,9;42,1
64;-48,45167;-27,05617;27,6;9,6
67;-56,9118;-38,3947;82;11,9
68;-56,5142;-38,5937;85;2,7
69;-56,0857;-38,785;82;34,6
70;-55,709;-38,9758;117;19,8
71;-55,1683;-37,6176;112;56,4
72;-55,5863;-37,4035;82;1,4
73;-55,8508;-37,2758;74;2,9
74;-56,0767;-37,1698;40;11,1
77;-55,9285;-35,9028;14;6,9
81;-54,7167;-36,4113;49;5,8
83;-53,469;-35,6195;65;4,9
84;-53,7187;-35,5237;54;4,1
85;-53,94;-35,3262;28;18,8
86;-54,1255;-35,2613;27;2,1
93;-52,3923;-34,7087;97;1,2
96;-52,107;-33,2367;42;5,3
97;-51,88;-33,3735;64;3,8
99;-51,5175;-33,6137;92;10,8
100;-50,5658;-32,9748;103;45,4
101;-50,7777;-32,8575;84;16
102;-51,0577;-32,7272;64;2,4
103;-51,3515;-32,6003;56;2,1
104;-51,5115;-32,4962;46;19,2
107;-50,5362;-30,982;30;1
108;-50,3847;-31,0915;74;21,6
109;-50,2295;-31,1692;104;37,5
110;-49,232;-30,0237;104;33,1
111;-49,3765;-29,8375;47;17,7
112;-49,6403;-29,5198;31;17,1
113;-48,7007;-28,5818;53;59,6
114;-48,5182;-28,67;75;17,1
115;-48,317;-28,7607;109;20,9
116;-47,607;-27,395;131;37,2
117;-47,8583;-27,2848;100;30,8
118;-48,0933;-27,2018;65;21,6
119;-48,39;-27,1453;31;2,7
127;-55,52;-35,13;20;0,074252831
128;-55,33;-35,18;19;0,172339509
129;-55,12;-35,22;22;0,406917599
131;-54,73;-35,14;37,5;1,888064734
134;-54,26;-34,82;33,5;0,492610837
135;-54,11;-34,72;25,5;0,288184438
136;-53,95;-34,62;23;0,207039337
138;-53,63;-34,42;28;1,333756748
139;-53,48;-34,29;28;0,425114454
140;-55,05;-35,17;30;1,500352432
144;-46,94;-27,21;402;0,528244401
145;-46,76;-27,26;707;3,181818182
146;-46,62;-27,3;1045;1,701676764
147;-46,52;-27,32;1308;2,733050847
149;-45,66;-27,54;2410;4,487179487
150;-46,79;-26,03;406;0,280112045
154;-45,41;-26,38;1900;1,593600717
155;-45,07;-26,68;2408;1,661129568
156;-45,11;-25,63;392;0,215148926
157;-45,08;-25,67;694;0,653594771
159;-45,02;-25,73;1306;0,164473684
160;-44,83;-25,95;1906;1,666666667
161;-44,43;-26,42;2398;1,543209877
162;-43,58;-24,26;399;2,919708029
163;-43,54;-24,34;692;1,140684411
166;-43,27;-24,87;1908;0,346020761
168;-41,79;-23,77;398;2,184466019
169;-41,74;-23,85;686;1,967213115
170;-41,72;-23,91;1000;0,755241049
171;-41,67;-23,98;1297;1,036814182
172;-41,52;-24,22;1910;0,530503979
173;-41,35;-24,52;2408;2,18579235
174;-40,203;-21,068;400;27,88356808
175;-39,884;-20,5897;400;41,41687885
176;-39,8069;-20,2475;400;19,74854061
177;-39,4946;-19,7753;400;59,01273564
178;-39,1682;-19,6021;400;66,65631748
179;-38,6664;-19,5867;400;61,02334225
180;-40,136;-21,08;1000;49,51403468
181;-39,8551;-20,5936;1000;38,92813525
182;-39,7733;-20,2629;1000;35,2821273
183;-39,4488;-19,8176;1000;52,38870273
184;-39,1125;-19,6627;1000;47,48737266
185;-38,574;-19,8627;1000;30,22666617
186;-40,0678;-21,081;1300;48,55504587
187;-39,8225;-20,6117;1300;64,2484929
188;-39,7229;-20,2778;1300;51,99647064
189;-39,3789;-19,8761;1300;52,94146521
190;-39,0239;-19,7897;1300;49,77741805
191;-38,5061;-20,0724;1300;30,77508865
192;-39,629;-21,098;1900;44,91477805
193;-39,5823;-20,6779;1900;37,18820862
194;-39,4646;-20,4033;1900;33,79517169
195;-39,1422;-20,1019;1900;32,25658858
196;-38,6807;-20,2478;1900;34,10952886
197;-38,4527;-20,2486;1900;33,73153984
198;-38,949;-21,1465;2500;15,41159099
199;-38,9427;-20,896;2500;23,09480754
200;-38,7355;-20,8054;2500;19,32918848
201;-38,6632;-20,5605;2500;21,07779008
202;-38,4448;-20,5704;2500;17,439966
203;-38,3629;-20,5073;2500;21,86204621
204;-38,4493;-21,1693;3000;12,3024075
205;-38,4526;-21,0582;3000;7,965519284
206;-38,443;-20,9593;3000;18,52951278
207;-38,3496;-20,8757;3000;19,028152
208;-38,3111;-20,7589;3000;11,86990363
209;-38,2788;-20,7309;3000;15,3504366
213;-40,585457;-21,403082;17;0,552486188
214;-40,577343;-21,471757;17;0,308641975
216;-41,011873;-22,059281;16;10
217;-40,555038;-22,114622;44;0,328947368
228;-40,4376;-22,062913;47;0,37037037
231;-40,315295;-21,394424;27;2,307692308
236;-40,260684;-21,557842;48;6,909090909
237;-40,203641;-22,013049;60;2,181818182
239;-40,142214;-21,451587;66;0,340136054
241;-45;-24,1;76;7,77
242;-44,9;-24,4;121;1,53
243;-44,7;-24,7;156;4,36
244;-44,6;-25;765;2,88
245;-44,5;-25;1132;8,94
246;-44,3;-24,7;621;14,65
247;-44,2;-24,8;964;5,3
248;-44;-24,7;983;6,5
249;-44,1;-24,6;687;4,88
250;-44,3;-23,4;45;78,7
251;-44,2;-23,7;83;56,3
252;-44;-23,9;126;57,75
253;-44;-24,3;203;5,68
255;-43,7;-24,5;1000;49,99
